wo,umi_count,library_id,condition,replicate,sample
OOWWWOWW,112477,1,Neg,1,Library-1-Neg-1
OOWWWWOO,258858,1,Neg,1,Library-1-Neg-1
OOWWWWOW,265405,1,Neg,1,Library-1-Neg-1
OOWWWWWO,60749,1,Neg,1,Library-1-Neg-1
OOWWWWWW,166025,1,Neg,1,Library-1-Neg-1
OWOOOOOO,76581,1,Neg,1,Library-1-Neg-1
OWOOOOOW,17913,1,Neg,1,Library-1-Neg-1
OWOOOOWO,49489,1,Neg,1,Library-1-Neg-1
OWOOOOWW,10738,1,Neg,1,Library-1-Neg-1
OWOOOWOO,39497,1,Neg,1,Library-1-Neg-1
OWOOOWOW,36338,1,Neg,1,Library-1-Neg-1
OWOOOWWO,16970,1,Neg,1,Library-1-Neg-1
OWOOOWWW,22464,1,Neg,1,Library-1-Neg-1
OWOOWOOO,56043,1,Neg,1,Library-1-Neg-1
OWOOWOOW,54230,1,Neg,1,Library-1-Neg-1
OWOOWOWO,47062,1,Neg,1,Library-1-Neg-1
OWOOWOWW,63813,1,Neg,1,Library-1-Neg-1
OWOOWWOO,135076,1,Neg,1,Library-1-Neg-1
OWOOWWOW,59844,1,Neg,1,Library-1-Neg-1
OWOOWWWO,62072,1,Neg,1,Library-1-Neg-1
OWOOWWWW,79631,1,Neg,1,Library-1-Neg-1
OWOWOOOO,31278,1,Neg,1,Library-1-Neg-1
OWOWOOOW,78011,1,Neg,1,Library-1-Neg-1
OWOWOOWO,38784,1,Neg,1,Library-1-Neg-1
OWOWOOWW,53054,1,Neg,1,Library-1-Neg-1
OWOWOWOO,69633,1,Neg,1,Library-1-Neg-1
OWOWOWOW,73691,1,Neg,1,Library-1-Neg-1
OWOWOWWO,12867,1,Neg,1,Library-1-Neg-1
OWOWOWWW,49290,1,Neg,1,Library-1-Neg-1
OWOWWOOO,82732,1,Neg,1,Library-1-Neg-1
OWOWWOOW,48448,1,Neg,1,Library-1-Neg-1
OWOWWOWO,40959,1,Neg,1,Library-1-Neg-1
OWOWWOWW,46581,1,Neg,1,Library-1-Neg-1
OWOWWWOO,127305,1,Neg,1,Library-1-Neg-1
OWOWWWOW,76629,1,Neg,1,Library-1-Neg-1
OWOWWWWO,46091,1,Neg,1,Library-1-Neg-1
OWOWWWWW,74153,1,Neg,1,Library-1-Neg-1
OWWOOOOO,273685,1,Neg,1,Library-1-Neg-1
OWWOOOOW,29552,1,Neg,1,Library-1-Neg-1
OWWOOOWO,72009,1,Neg,1,Library-1-Neg-1
OWWOOOWW,35091,1,Neg,1,Library-1-Neg-1
OWWOOWOO,17285,1,Neg,1,Library-1-Neg-1
OWWOOWOW,59193,1,Neg,1,Library-1-Neg-1
OWWOOWWO,32087,1,Neg,1,Library-1-Neg-1
OWWOOWWW,51489,1,Neg,1,Library-1-Neg-1
OWWOWOOO,93748,1,Neg,1,Library-1-Neg-1
OWWOWOOW,134592,1,Neg,1,Library-1-Neg-1
OWWOWOWO,48586,1,Neg,1,Library-1-Neg-1
OWWOWOWW,45964,1,Neg,1,Library-1-Neg-1
OWWOWWOO,274828,1,Neg,1,Library-1-Neg-1
OWWOWWOW,82664,1,Neg,1,Library-1-Neg-1
OWWOWWWO,53227,1,Neg,1,Library-1-Neg-1
OWWOWWWW,133140,1,Neg,1,Library-1-Neg-1
OWWWOOOO,5059,1,Neg,1,Library-1-Neg-1
OWWWOOOW,157675,1,Neg,1,Library-1-Neg-1
OWWWOOWO,108168,1,Neg,1,Library-1-Neg-1
OWWWOOWW,56386,1,Neg,1,Library-1-Neg-1
OWWWOWOO,238818,1,Neg,1,Library-1-Neg-1
OWWWOWOW,166369,1,Neg,1,Library-1-Neg-1
OWWWOWWO,17360,1,Neg,1,Library-1-Neg-1
OWWWOWWW,29212,1,Neg,1,Library-1-Neg-1
OWWWWOOO,64952,1,Neg,1,Library-1-Neg-1
OWWWWOOW,183050,1,Neg,1,Library-1-Neg-1
OWWWWOWO,78443,1,Neg,1,Library-1-Neg-1
OWWWWOWW,51982,1,Neg,1,Library-1-Neg-1
OWWWWWOO,149903,1,Neg,1,Library-1-Neg-1
OWWWWWOW,224233,1,Neg,1,Library-1-Neg-1
OWWWWWWO,117473,1,Neg,1,Library-1-Neg-1
OWWWWWWW,66113,1,Neg,1,Library-1-Neg-1
WOOOOOOO,265934,1,Neg,1,Library-1-Neg-1
WOOOOOOW,30513,1,Neg,1,Library-1-Neg-1
WOOOOOWO,59635,1,Neg,1,Library-1-Neg-1
WOOOOOWW,46380,1,Neg,1,Library-1-Neg-1
WOOOOWOO,80195,1,Neg,1,Library-1-Neg-1
WOOOOWOW,86243,1,Neg,1,Library-1-Neg-1
WOOOOWWO,14083,1,Neg,1,Library-1-Neg-1
WOOOOWWW,35684,1,Neg,1,Library-1-Neg-1
WOOOWOOO,10251,1,Neg,1,Library-1-Neg-1
WOOOWOOW,144102,1,Neg,1,Library-1-Neg-1
WOOOWOWO,72059,1,Neg,1,Library-1-Neg-1
WOOOWOWW,70137,1,Neg,1,Library-1-Neg-1
WOOOWWOO,224737,1,Neg,1,Library-1-Neg-1
WOOOWWOW,107812,1,Neg,1,Library-1-Neg-1
WOOOWWWO,54919,1,Neg,1,Library-1-Neg-1
WOOOWWWW,65462,1,Neg,1,Library-1-Neg-1
WOOWOOOO,91183,1,Neg,1,Library-1-Neg-1
WOOWOOOW,94490,1,Neg,1,Library-1-Neg-1
WOOWOOWO,59913,1,Neg,1,Library-1-Neg-1
WOOWOOWW,39374,1,Neg,1,Library-1-Neg-1
WOOWOWOO,121209,1,Neg,1,Library-1-Neg-1
WOOWOWOW,160709,1,Neg,1,Library-1-Neg-1
WOOWOWWO,26171,1,Neg,1,Library-1-Neg-1
WOOWOWWW,40319,1,Neg,1,Library-1-Neg-1
WOOWWOOO,112808,1,Neg,1,Library-1-Neg-1
WOOWWOOW,63043,1,Neg,1,Library-1-Neg-1
WOOWWOWO,22174,1,Neg,1,Library-1-Neg-1
WOOWWOWW,16081,1,Neg,1,Library-1-Neg-1
WOOWWWOO,99358,1,Neg,1,Library-1-Neg-1
WOOWWWOW,80405,1,Neg,1,Library-1-Neg-1
WOOWWWWO,23475,1,Neg,1,Library-1-Neg-1
WOOWWWWW,71654,1,Neg,1,Library-1-Neg-1
WOWOOOOO,272144,1,Neg,1,Library-1-Neg-1
WOWOOOOW,30602,1,Neg,1,Library-1-Neg-1
WOWOOOWO,63195,1,Neg,1,Library-1-Neg-1
WOWOOOWW,35813,1,Neg,1,Library-1-Neg-1
WOWOOWOO,10223,1,Neg,1,Library-1-Neg-1
WOWOOWOW,41391,1,Neg,1,Library-1-Neg-1
WOWOOWWO,8299,1,Neg,1,Library-1-Neg-1
WOWOOWWW,23295,1,Neg,1,Library-1-Neg-1
WOWOWOOO,50024,1,Neg,1,Library-1-Neg-1
WOWOWOOW,103338,1,Neg,1,Library-1-Neg-1
WOWOWOWO,85731,1,Neg,1,Library-1-Neg-1
WOWOWOWW,45571,1,Neg,1,Library-1-Neg-1
WOWOWWOO,198921,1,Neg,1,Library-1-Neg-1
WOWOWWOW,124048,1,Neg,1,Library-1-Neg-1
WOWOWWWO,60168,1,Neg,1,Library-1-Neg-1
WOWOWWWW,106384,1,Neg,1,Library-1-Neg-1
WOWWOOOO,82150,1,Neg,1,Library-1-Neg-1
WOWWOOOW,303296,1,Neg,1,Library-1-Neg-1
WOWWOOWO,92737,1,Neg,1,Library-1-Neg-1
WOWWOOWW,22811,1,Neg,1,Library-1-Neg-1
WOWWOWOO,163823,1,Neg,1,Library-1-Neg-1
WOWWOWOW,180400,1,Neg,1,Library-1-Neg-1
WOWWOWWO,35606,1,Neg,1,Library-1-Neg-1
WOWWOWWW,80681,1,Neg,1,Library-1-Neg-1
WOWWWOOO,102036,1,Neg,1,Library-1-Neg-1
WOWWWOOW,107250,1,Neg,1,Library-1-Neg-1
WOWWWOWO,50621,1,Neg,1,Library-1-Neg-1
WOWWWOWW,51159,1,Neg,1,Library-1-Neg-1
WOWWWWOO,281898,1,Neg,1,Library-1-Neg-1
WOWWWWOW,247645,1,Neg,1,Library-1-Neg-1
WOWWWWWO,47590,1,Neg,1,Library-1-Neg-1
WOWWWWWW,94193,1,Neg,1,Library-1-Neg-1
WWOOOOOO,116479,1,Neg,1,Library-1-Neg-1
WWOOOOOW,15895,1,Neg,1,Library-1-Neg-1
WWOOOOWO,25056,1,Neg,1,Library-1-Neg-1
WWOOOOWW,40341,1,Neg,1,Library-1-Neg-1
WWOOOWOO,11463,1,Neg,1,Library-1-Neg-1
WWOOOWOW,74071,1,Neg,1,Library-1-Neg-1
WWOOOWWO,18699,1,Neg,1,Library-1-Neg-1
WWOOOWWW,22613,1,Neg,1,Library-1-Neg-1
WWOOWOOO,3780,1,Neg,1,Library-1-Neg-1
WWOOWOOW,55226,1,Neg,1,Library-1-Neg-1
WWOOWOWO,31185,1,Neg,1,Library-1-Neg-1
WWOOWOWW,31062,1,Neg,1,Library-1-Neg-1
WWOOWWOO,57382,1,Neg,1,Library-1-Neg-1
WWOOWWOW,120083,1,Neg,1,Library-1-Neg-1
WWOOWWWO,27482,1,Neg,1,Library-1-Neg-1
WWOOWWWW,33624,1,Neg,1,Library-1-Neg-1
WWOWOOOO,25541,1,Neg,1,Library-1-Neg-1
WWOWOOOW,84799,1,Neg,1,Library-1-Neg-1
WWOWOOWO,44734,1,Neg,1,Library-1-Neg-1
WWOWOOWW,22525,1,Neg,1,Library-1-Neg-1
WWOWOWOO,55442,1,Neg,1,Library-1-Neg-1
WWOWOWOW,98774,1,Neg,1,Library-1-Neg-1
WWOWOWWO,25045,1,Neg,1,Library-1-Neg-1
WWOWOWWW,25198,1,Neg,1,Library-1-Neg-1
WWOWWOOO,62074,1,Neg,1,Library-1-Neg-1
WWOWWOOW,62181,1,Neg,1,Library-1-Neg-1
WWOWWOWO,40419,1,Neg,1,Library-1-Neg-1
WWOWWOWW,45830,1,Neg,1,Library-1-Neg-1
WWOWWWOO,44443,1,Neg,1,Library-1-Neg-1
WWOWWWOW,85889,1,Neg,1,Library-1-Neg-1
WWOWWWWO,43205,1,Neg,1,Library-1-Neg-1
WWOWWWWW,61312,1,Neg,1,Library-1-Neg-1
WWWOOOOO,495700,1,Neg,1,Library-1-Neg-1
WWWOOOOW,28792,1,Neg,1,Library-1-Neg-1
WWWOOOWO,21304,1,Neg,1,Library-1-Neg-1
WWWOOOWW,28872,1,Neg,1,Library-1-Neg-1
WWWOOWOO,21873,1,Neg,1,Library-1-Neg-1
WWWOOWOW,65683,1,Neg,1,Library-1-Neg-1
WWWOOWWO,9080,1,Neg,1,Library-1-Neg-1
WWWOOWWW,32207,1,Neg,1,Library-1-Neg-1
WWWOWOOO,35904,1,Neg,1,Library-1-Neg-1
WWWOWOOW,131387,1,Neg,1,Library-1-Neg-1
WWWOWOWO,36120,1,Neg,1,Library-1-Neg-1
WWWOWOWW,34423,1,Neg,1,Library-1-Neg-1
WWWOWWOO,132046,1,Neg,1,Library-1-Neg-1
WWWOWWOW,143588,1,Neg,1,Library-1-Neg-1
WWWOWWWO,32691,1,Neg,1,Library-1-Neg-1
WWWOWWWW,100484,1,Neg,1,Library-1-Neg-1
WWWWOOOO,40374,1,Neg,1,Library-1-Neg-1
WWWWOOOW,122571,1,Neg,1,Library-1-Neg-1
WWWWOOWO,40278,1,Neg,1,Library-1-Neg-1
WWWWOOWW,48111,1,Neg,1,Library-1-Neg-1
WWWWOWOO,250120,1,Neg,1,Library-1-Neg-1
WWWWOWOW,147465,1,Neg,1,Library-1-Neg-1
WWWWOWWO,17738,1,Neg,1,Library-1-Neg-1
WWWWOWWW,38578,1,Neg,1,Library-1-Neg-1
WWWWWOOO,112301,1,Neg,1,Library-1-Neg-1
WWWWWOOW,204869,1,Neg,1,Library-1-Neg-1
WWWWWOWO,54620,1,Neg,1,Library-1-Neg-1
WWWWWOWW,65003,1,Neg,1,Library-1-Neg-1
WWWWWWOO,132607,1,Neg,1,Library-1-Neg-1
WWWWWWOW,200616,1,Neg,1,Library-1-Neg-1
WWWWWWWO,69665,1,Neg,1,Library-1-Neg-1
WWWWWWWW,1098977,1,Neg,1,Library-1-Neg-1
OOOOOOOO,50,1,Neg,2,Library-1-Neg-2
OOOOOOOW,6,1,Neg,2,Library-1-Neg-2
OOOOOOWO,59,1,Neg,2,Library-1-Neg-2
OOOOOOWW,82,1,Neg,2,Library-1-Neg-2
OOOOOWOO,9,1,Neg,2,Library-1-Neg-2
OOOOOWOW,30,1,Neg,2,Library-1-Neg-2
OOOOOWWO,85,1,Neg,2,Library-1-Neg-2
OOOOOWWW,80,1,Neg,2,Library-1-Neg-2
OOOOWOOO,34,1,Neg,2,Library-1-Neg-2
OOOOWOOW,41,1,Neg,2,Library-1-Neg-2
OOOOWOWO,176,1,Neg,2,Library-1-Neg-2
OOOOWOWW,20,1,Neg,2,Library-1-Neg-2
OOOOWWOO,72,1,Neg,2,Library-1-Neg-2
OOOOWWOW,106,1,Neg,2,Library-1-Neg-2
OOOOWWWO,99,1,Neg,2,Library-1-Neg-2
OOOOWWWW,41,1,Neg,2,Library-1-Neg-2
OOOWOOOO,12,1,Neg,2,Library-1-Neg-2
OOOWOOOW,5,1,Neg,2,Library-1-Neg-2
OOOWOOWO,112,1,Neg,2,Library-1-Neg-2
OOOWOOWW,41,1,Neg,2,Library-1-Neg-2
OOOWOWOO,43,1,Neg,2,Library-1-Neg-2
OOOWOWOW,84,1,Neg,2,Library-1-Neg-2
OOOWOWWO,83,1,Neg,2,Library-1-Neg-2
OOOWOWWW,9,1,Neg,2,Library-1-Neg-2
OOOWWOOO,28,1,Neg,2,Library-1-Neg-2
OOOWWOOW,11,1,Neg,2,Library-1-Neg-2
OOOWWOWO,66,1,Neg,2,Library-1-Neg-2
OOOWWOWW,49,1,Neg,2,Library-1-Neg-2
OOOWWWOO,83,1,Neg,2,Library-1-Neg-2
OOOWWWOW,14,1,Neg,2,Library-1-Neg-2
OOOWWWWO,38,1,Neg,2,Library-1-Neg-2
OOOWWWWW,19,1,Neg,2,Library-1-Neg-2
OOWOOOOO,143,1,Neg,2,Library-1-Neg-2
OOWOOOOW,14,1,Neg,2,Library-1-Neg-2
OOWOOOWO,42,1,Neg,2,Library-1-Neg-2
OOWOOOWW,71,1,Neg,2,Library-1-Neg-2
OOWOOWOW,53,1,Neg,2,Library-1-Neg-2
OOWOOWWO,110,1,Neg,2,Library-1-Neg-2
OOWOOWWW,22,1,Neg,2,Library-1-Neg-2
OOWOWOOO,8,1,Neg,2,Library-1-Neg-2
OOWOWOOW,19,1,Neg,2,Library-1-Neg-2
OOWOWOWO,50,1,Neg,2,Library-1-Neg-2
OOWOWOWW,106,1,Neg,2,Library-1-Neg-2
OOWOWWOO,73,1,Neg,2,Library-1-Neg-2
OOWOWWOW,29,1,Neg,2,Library-1-Neg-2
OOWOWWWO,25,1,Neg,2,Library-1-Neg-2
OOWOWWWW,43,1,Neg,2,Library-1-Neg-2
OOWWOOOO,94,1,Neg,2,Library-1-Neg-2
OOWWOOOW,53,1,Neg,2,Library-1-Neg-2
OOWWOOWO,107,1,Neg,2,Library-1-Neg-2
OOWWOOWW,33,1,Neg,2,Library-1-Neg-2
OOWWOWOO,115,1,Neg,2,Library-1-Neg-2
OOWWOWOW,25,1,Neg,2,Library-1-Neg-2
OOWWOWWO,68,1,Neg,2,Library-1-Neg-2
OOWWOWWW,57,1,Neg,2,Library-1-Neg-2
OOWWWOOO,34,1,Neg,2,Library-1-Neg-2
OOWWWOOW,53,1,Neg,2,Library-1-Neg-2
OOWWWOWO,112,1,Neg,2,Library-1-Neg-2
OOWWWOWW,49,1,Neg,2,Library-1-Neg-2
OOWWWWOO,60,1,Neg,2,Library-1-Neg-2
OOWWWWOW,55,1,Neg,2,Library-1-Neg-2
OOWWWWWO,111,1,Neg,2,Library-1-Neg-2
OOWWWWWW,48,1,Neg,2,Library-1-Neg-2
OWOOOOOO,25,1,Neg,2,Library-1-Neg-2
OWOOOOOW,26,1,Neg,2,Library-1-Neg-2
OWOOOOWO,162,1,Neg,2,Library-1-Neg-2
OWOOOOWW,81,1,Neg,2,Library-1-Neg-2
OWOOOWOO,5,1,Neg,2,Library-1-Neg-2
OWOOOWOW,27,1,Neg,2,Library-1-Neg-2
OWOOOWWO,14,1,Neg,2,Library-1-Neg-2
OWOOOWWW,17,1,Neg,2,Library-1-Neg-2
OWOOWOOO,24,1,Neg,2,Library-1-Neg-2
OWOOWOOW,17,1,Neg,2,Library-1-Neg-2
OWOOWOWO,87,1,Neg,2,Library-1-Neg-2
OWOOWOWW,14,1,Neg,2,Library-1-Neg-2
OWOOWWOO,20,1,Neg,2,Library-1-Neg-2
OWOOWWOW,25,1,Neg,2,Library-1-Neg-2
OWOOWWWO,92,1,Neg,2,Library-1-Neg-2
OWOWOOOO,30,1,Neg,2,Library-1-Neg-2
OWOWOOOW,17,1,Neg,2,Library-1-Neg-2
OWOWOOWO,102,1,Neg,2,Library-1-Neg-2
OWOWOOWW,50,1,Neg,2,Library-1-Neg-2
OWOWOWOO,104,1,Neg,2,Library-1-Neg-2
OWOWOWOW,36,1,Neg,2,Library-1-Neg-2
OWOWOWWO,4,1,Neg,2,Library-1-Neg-2
OWOWOWWW,69,1,Neg,2,Library-1-Neg-2
OWOWWOOO,70,1,Neg,2,Library-1-Neg-2
OWOWWOOW,5,1,Neg,2,Library-1-Neg-2
OWOWWOWO,45,1,Neg,2,Library-1-Neg-2
OWOWWOWW,54,1,Neg,2,Library-1-Neg-2
OWOWWWOO,43,1,Neg,2,Library-1-Neg-2
OWOWWWOW,56,1,Neg,2,Library-1-Neg-2
OWOWWWWO,64,1,Neg,2,Library-1-Neg-2
OWOWWWWW,26,1,Neg,2,Library-1-Neg-2
OWWOOOOO,107,1,Neg,2,Library-1-Neg-2
OWWOOOOW,5,1,Neg,2,Library-1-Neg-2
OWWOOOWO,91,1,Neg,2,Library-1-Neg-2
OWWOOOWW,36,1,Neg,2,Library-1-Neg-2
OWWOOWOO,3,1,Neg,2,Library-1-Neg-2
OWWOOWOW,7,1,Neg,2,Library-1-Neg-2
OWWOOWWO,53,1,Neg,2,Library-1-Neg-2
OWWOOWWW,5,1,Neg,2,Library-1-Neg-2
OWWOWOOO,9,1,Neg,2,Library-1-Neg-2
OWWOWOOW,32,1,Neg,2,Library-1-Neg-2
OWWOWOWO,57,1,Neg,2,Library-1-Neg-2
OWWOWOWW,11,1,Neg,2,Library-1-Neg-2
OWWOWWOO,45,1,Neg,2,Library-1-Neg-2
OWWOWWOW,18,1,Neg,2,Library-1-Neg-2
OWWOWWWO,52,1,Neg,2,Library-1-Neg-2
OWWOWWWW,75,1,Neg,2,Library-1-Neg-2
OWWWOOOW,13,1,Neg,2,Library-1-Neg-2
OWWWOOWO,122,1,Neg,2,Library-1-Neg-2
OWWWOOWW,16,1,Neg,2,Library-1-Neg-2
OWWWOWOO,59,1,Neg,2,Library-1-Neg-2
OWWWOWOW,51,1,Neg,2,Library-1-Neg-2
OWWWOWWO,36,1,Neg,2,Library-1-Neg-2
OWWWOWWW,26,1,Neg,2,Library-1-Neg-2
OWWWWOOO,12,1,Neg,2,Library-1-Neg-2
OWWWWOOW,83,1,Neg,2,Library-1-Neg-2
OWWWWOWO,66,1,Neg,2,Library-1-Neg-2
OWWWWOWW,40,1,Neg,2,Library-1-Neg-2
OWWWWWOO,61,1,Neg,2,Library-1-Neg-2
OWWWWWOW,76,1,Neg,2,Library-1-Neg-2
OWWWWWWO,134,1,Neg,2,Library-1-Neg-2
OWWWWWWW,12,1,Neg,2,Library-1-Neg-2
WOOOOOOO,81,1,Neg,2,Library-1-Neg-2
WOOOOOOW,6,1,Neg,2,Library-1-Neg-2
WOOOOOWO,171,1,Neg,2,Library-1-Neg-2
WOOOOOWW,48,1,Neg,2,Library-1-Neg-2
WOOOOWOO,25,1,Neg,2,Library-1-Neg-2
WOOOOWOW,20,1,Neg,2,Library-1-Neg-2
WOOOOWWO,53,1,Neg,2,Library-1-Neg-2
WOOOOWWW,79,1,Neg,2,Library-1-Neg-2
WOOOWOOO,13,1,Neg,2,Library-1-Neg-2
WOOOWOOW,11,1,Neg,2,Library-1-Neg-2
WOOOWOWO,176,1,Neg,2,Library-1-Neg-2
WOOOWOWW,23,1,Neg,2,Library-1-Neg-2
WOOOWWOO,143,1,Neg,2,Library-1-Neg-2
WOOOWWOW,65,1,Neg,2,Library-1-Neg-2
WOOOWWWO,95,1,Neg,2,Library-1-Neg-2
WOOOWWWW,55,1,Neg,2,Library-1-Neg-2
WOOWOOOO,7,1,Neg,2,Library-1-Neg-2
WOOWOOOW,8,1,Neg,2,Library-1-Neg-2
WOOWOOWO,147,1,Neg,2,Library-1-Neg-2
WOOWOOWW,38,1,Neg,2,Library-1-Neg-2
WOOWOWOO,70,1,Neg,2,Library-1-Neg-2
WOOWOWOW,52,1,Neg,2,Library-1-Neg-2
WOOWOWWO,84,1,Neg,2,Library-1-Neg-2
WOOWOWWW,23,1,Neg,2,Library-1-Neg-2
WOOWWOOO,100,1,Neg,2,Library-1-Neg-2
WOOWWOOW,68,1,Neg,2,Library-1-Neg-2
WOOWWOWO,70,1,Neg,2,Library-1-Neg-2
WOOWWOWW,52,1,Neg,2,Library-1-Neg-2
WOOWWWOO,28,1,Neg,2,Library-1-Neg-2
WOOWWWOW,2,1,Neg,2,Library-1-Neg-2
WOOWWWWO,56,1,Neg,2,Library-1-Neg-2
WOOWWWWW,63,1,Neg,2,Library-1-Neg-2
WOWOOOOO,298,1,Neg,2,Library-1-Neg-2
WOWOOOWO,77,1,Neg,2,Library-1-Neg-2
WOWOOOWW,74,1,Neg,2,Library-1-Neg-2
WOWOOWOW,30,1,Neg,2,Library-1-Neg-2
WOWOOWWO,3,1,Neg,2,Library-1-Neg-2
WOWOOWWW,56,1,Neg,2,Library-1-Neg-2
WOWOWOOO,8,1,Neg,2,Library-1-Neg-2
WOWOWOOW,208,1,Neg,2,Library-1-Neg-2
WOWOWOWO,141,1,Neg,2,Library-1-Neg-2
WOWOWOWW,72,1,Neg,2,Library-1-Neg-2
WOWOWWOO,59,1,Neg,2,Library-1-Neg-2
WOWOWWOW,101,1,Neg,2,Library-1-Neg-2
WOWOWWWO,176,1,Neg,2,Library-1-Neg-2
WOWOWWWW,36,1,Neg,2,Library-1-Neg-2
WOWWOOOO,39,1,Neg,2,Library-1-Neg-2
WOWWOOOW,22,1,Neg,2,Library-1-Neg-2
WOWWOOWO,95,1,Neg,2,Library-1-Neg-2
WOWWOOWW,35,1,Neg,2,Library-1-Neg-2
WOWWOWOO,108,1,Neg,2,Library-1-Neg-2
WOWWOWOW,9,1,Neg,2,Library-1-Neg-2
WOWWOWWO,81,1,Neg,2,Library-1-Neg-2
WOWWOWWW,77,1,Neg,2,Library-1-Neg-2
WOWWWOOO,76,1,Neg,2,Library-1-Neg-2
WOWWWOOW,6,1,Neg,2,Library-1-Neg-2
WOWWWOWO,64,1,Neg,2,Library-1-Neg-2
WOWWWOWW,56,1,Neg,2,Library-1-Neg-2
WOWWWWOO,45,1,Neg,2,Library-1-Neg-2
WOWWWWOW,105,1,Neg,2,Library-1-Neg-2
WOWWWWWO,21,1,Neg,2,Library-1-Neg-2
WOWWWWWW,38,1,Neg,2,Library-1-Neg-2
WWOOOOOO,111,1,Neg,2,Library-1-Neg-2
WWOOOOOW,2,1,Neg,2,Library-1-Neg-2
WWOOOOWO,202,1,Neg,2,Library-1-Neg-2
WWOOOOWW,33,1,Neg,2,Library-1-Neg-2
WWOOOWOO,13,1,Neg,2,Library-1-Neg-2
WWOOOWOW,19,1,Neg,2,Library-1-Neg-2
WWOOOWWO,96,1,Neg,2,Library-1-Neg-2
WWOOOWWW,21,1,Neg,2,Library-1-Neg-2
WWOOWOOO,3,1,Neg,2,Library-1-Neg-2
WWOOWOOW,30,1,Neg,2,Library-1-Neg-2
WWOOWOWO,23,1,Neg,2,Library-1-Neg-2
WWOOWOWW,2,1,Neg,2,Library-1-Neg-2
WWOOWWOO,34,1,Neg,2,Library-1-Neg-2
